subject,detection_prob,sex,correct,median_latency
08c,0.993458,female,0,48.65
08d,0.197104,female,1,73.02
08d,0.2351,female,1,49.52
08d,0.308821,female,0,81.43
08d,0.35129,female,1,NA
08d,0.395665,female,1,46.27
08d,0.454914,female,1,NA
08d,0.469462,female,1,61.92
08d,0.51063,female,1,76.38
08d,0.527076,female,1,46.4
08d,0.591663,female,0,47.39
08d,0.592635,female,1,51.64
08d,0.652871,female,1,90.4001
08d,0.679002,female,1,40.91
08d,0.681,female,1,48.07
08d,0.725833,female,1,69.85
08d,0.733405,female,1,44.6
08d,0.749907,female,1,60.7
08d,0.831927,female,0,71.52
08d,0.861458,female,1,44.03
08d,0.892358,female,1,46.38
08d,0.897299,female,1,38.08
08d,0.925597,female,1,NA
08d,0.929902,female,0,82.29
08d,0.9408,female,0,31.28
08d,0.941874,female,1,NA
08d,0.958781,female,0,49.45
08d,0.971624,female,1,31.47
08d,0.978836,female,0,62.95
09a,0.19045,female,0,53.22
09a,0.195419,female,1,61.3002
09a,0.203502,female,1,NA
09a,0.244136,female,0,74.05
09a,0.272722,female,1,52.13
09a,0.299647,female,0,37.74
09a,0.457335,female,1,48.29
09a,0.500964,female,1,35.85
09a,0.542605,female,1,78.38
09a,0.607488,female,0,33.86
09a,0.630561,female,1,39.77
09a,0.648025,female,0,NA
09a,0.655737,female,0,31.65
09a,0.659522,female,1,29.1098
09a,0.673018,female,1,50.8402
09a,0.684875,female,0,59.51
09a,0.705392,female,0,39.6098
09a,0.719012,female,0,39.77
09a,0.788506,female,1,NA
09a,0.790604,female,1,26.26
09a,0.832542,female,0,26.3601
09a,0.844879,female,1,74.95
09a,0.887865,female,1,NA
09a,0.898328,female,0,26.11
09a,0.905652,female,0,41.52
09a,0.925936,female,1,37.28
09a,0.955968,female,1,27.79
09a,0.96625,female,1,27.5
09c,0.158479,male,0,NA
09c,0.233529,male,0,45.23
09c,0.249853,male,1,87.46
09c,0.258532,male,1,34.03
09c,0.268511,male,1,NA
09c,0.315717,male,1,70.14
09c,0.317997,male,1,62.52
09c,0.397125,male,1,86.18
09c,0.42682,male,1,34.0799
09c,0.479487,male,1,55.32
09c,0.486716,male,1,NA
09c,0.60562,male,1,32.2301
09c,0.632595,male,1,55.18
09c,0.652638,male,0,80.718
09c,0.67102,male,1,73.37
09c,0.681535,male,1,47.975
09c,0.703859,male,1,62.65
09c,0.759575,male,1,29.61
09c,0.769288,male,1,45.77
09c,0.824639,male,1,75.749
09c,0.870031,male,1,35.74
09c,0.877772,male,1,58.1
09c,0.913832,male,1,31.7
09c,0.92986,male,1,71.16
09c,0.934644,male,1,48.1
09c,0.945629,male,1,35.89
09c,0.962652,male,1,NA
09c,0.995123,male,1,31.43
09d,0.18101,female,1,54.23
09d,0.189419,female,0,73.88
09d,0.205649,female,1,32.5499
09d,0.218877,female,1,NA
09d,0.247698,female,1,56.91
09d,0.279334,female,1,47.84
09d,0.323871,female,1,32.9
09d,0.341363,female,1,37.66
09d,0.413246,female,1,84.11
09d,0.424888,female,1,45.25
09d,0.447835,female,1,50
09d,0.449514,female,1,NA
09d,0.522938,female,1,65.31
09d,0.640095,female,1,47.9698
09d,0.644351,female,1,50.82
09d,0.674051,female,1,75.7
09d,0.679751,female,1,NA
09d,0.679897,female,1,51.03
09d,0.777101,female,1,35.36
09d,0.803618,female,0,84.65
09d,0.813692,female,1,NA
09d,0.84574,female,1,45.76
09d,0.859572,female,1,56.12
09d,0.919281,female,1,87.6
09d,0.942156,female,1,140.36
09d,0.944347,female,1,72.18
09d,0.952218,female,1,108.31
09d,0.956209,female,1,61.65
10c,0.166455,female,1,46.72
10c,0.211336,female,1,34.75
10c,0.231212,female,0,42.37
10c,0.36147,female,1,NA
10c,0.368322,female,1,64.26
10c,0.375754,female,0,50.64
10c,0.410306,female,1,82.7
10c,0.429102,female,1,NA
10c,0.454828,female,0,NA
10c,0.481007,female,1,42.37
10c,0.495629,female,1,63.4
10c,0.557581,female,1,24.6
10c,0.562627,female,1,42.5802
10c,0.605433,female,1,29.4302
10c,0.607345,female,1,42.1503
10c,0.630316,female,1,49.38
10c,0.712561,female,1,52.69
10c,0.722368,female,1,24.33
10c,0.767222,female,1,68.94
10c,0.8173,female,1,45.69
10c,0.823006,female,1,63.23
10c,0.826254,female,0,34.21
10c,0.852674,female,0,108.8898
10c,0.890139,female,0,34.31
10c,0.941363,female,0,NA
10c,0.988941,female,1,21.9897
10c,0.992706,female,1,34.05
10c,0.992919,female,1,60.47
